Ensembl Protein ID	Ensembl Gene ID	Associated Gene Name
ENSP00000372313	ENSG00000102854	MSLN
ENSP00000262370	ENSG00000102858	MGRN1
ENSP00000262525	ENSG00000102870	ZNF629
ENSP00000341268	ENSG00000102871	TRADD
ENSP00000264009	ENSG00000102878	HSF4
ENSP00000219150	ENSG00000102879	CORO1A
ENSP00000263025	ENSG00000102882	MAPK3
ENSP00000377566	ENSG00000102890	ELMO3
ENSP00000219162	ENSG00000102891	MT4
ENSP00000313504	ENSG00000102893	PHKB
ENSP00000219169	ENSG00000102898	NUTF2
ENSP00000310668	ENSG00000102900	NUP93
ENSP00000219172	ENSG00000102901	CENPT
ENSP00000373485	ENSG00000102904	TSNAXIP1
ENSP00000396538	ENSG00000102908	NFAT5
ENSP00000285737	ENSG00000102910	LONP2
ENSP00000262384	ENSG00000102921	N4BP1
ENSP00000219197	ENSG00000102924	CBLN1
ENSP00000219204	ENSG00000102931	ARL2BP
ENSP00000219207	ENSG00000102934	PLLP
ENSP00000262383	ENSG00000102935	ZNF423
ENSP00000219235	ENSG00000102962	CCL22
ENSP00000219240	ENSG00000102967	DHODH
ENSP00000219244	ENSG00000102970	CCL17
ENSP00000264010	ENSG00000102974	CTCF
ENSP00000377496	ENSG00000102977	ACD
ENSP00000219252	ENSG00000102978	POLR2C
ENSP00000219255	ENSG00000102981	PARD6A
ENSP00000219271	ENSG00000102996	MMP15
ENSP00000219281	ENSG00000103005	USB1
ENSP00000308430	ENSG00000103018	CYB5B
ENSP00000219299	ENSG00000103021	CCDC113
ENSP00000219301	ENSG00000103023	PRSS54
ENSP00000219302	ENSG00000103024	NME3
ENSP00000219313	ENSG00000103035	PSMD7
ENSP00000219315	ENSG00000103037	SETD6
ENSP00000219320	ENSG00000103042	SLC38A7
ENSP00000261776	ENSG00000103043	VAC14
ENSP00000304440	ENSG00000103044	HAS3
ENSP00000261778	ENSG00000103047	TANGO6
ENSP00000315775	ENSG00000103051	COG4
ENSP00000219334	ENSG00000103056	SMPD3
ENSP00000263997	ENSG00000103061	SLC7A6OS
ENSP00000219343	ENSG00000103064	SLC7A6
ENSP00000219345	ENSG00000103066	PLA2G15
ENSP00000418748	ENSG00000103067	ESRP2
ENSP00000219368	ENSG00000103089	FA2H
ENSP00000262144	ENSG00000103091	WDR59
ENSP00000248248	ENSG00000103111	MON1B
ENSP00000219400	ENSG00000103121	CMC2
ENSP00000262320	ENSG00000103126	AXIN1
ENSP00000382834	ENSG00000103148	NPRL3
ENSP00000262430	ENSG00000103150	MLYCD
ENSP00000219431	ENSG00000103152	MPG
ENSP00000219439	ENSG00000103160	HSDL1
ENSP00000367802	ENSG00000103168	TAF1C
ENSP00000310998	ENSG00000103174	NAGPA
ENSP00000251170	ENSG00000103184	SEC14L5
ENSP00000262428	ENSG00000103187	COTL1
ENSP00000219473	ENSG00000103194	USP10
ENSP00000262424	ENSG00000103196	CRISPLD2
ENSP00000219476	ENSG00000103197	TSC2
ENSP00000219479	ENSG00000103202	NME4
ENSP00000382342	ENSG00000103222	ABCC1
ENSP00000382274	ENSG00000103226	NOMO3
ENSP00000262301	ENSG00000103227	LMF1
ENSP00000262426	ENSG00000103241	FOXF1
ENSP00000251588	ENSG00000103245	NARFL
ENSP00000354152	ENSG00000103248	MTHFSD
ENSP00000372193	ENSG00000103249	CLCN7
ENSP00000374353	ENSG00000103253	HAGHL
ENSP00000261622	ENSG00000103257	SLC7A5
ENSP00000310841	ENSG00000103264	FBXO31
ENSP00000219548	ENSG00000103266	STUB1
ENSP00000219551	ENSG00000103269	RHBDL1
ENSP00000283027	ENSG00000103274	NUBP1
ENSP00000324897	ENSG00000103275	UBE2I
ENSP00000219593	ENSG00000103310	ZP2
ENSP00000219596	ENSG00000103313	MEFV
ENSP00000219599	ENSG00000103316	CRYM
ENSP00000263026	ENSG00000103319	EEF2K
ENSP00000219611	ENSG00000103326	CAPN15
ENSP00000301015	ENSG00000103335	PIEZO1
ENSP00000398131	ENSG00000103342	GSPT1
ENSP00000460850	ENSG00000103351	CLUAP1
ENSP00000379217	ENSG00000103353	UBFD1
ENSP00000262306	ENSG00000103363	TCEB2
ENSP00000311962	ENSG00000103365	GGA2
ENSP00000219660	ENSG00000103375	AQP8
ENSP00000371193	ENSG00000103381	CPPED1
ENSP00000219689	ENSG00000103404	USP31
ENSP00000219700	ENSG00000103415	HMOX2
ENSP00000262375	ENSG00000103423	DNAJA3
ENSP00000460885	ENSG00000103426	CORO7-PAM16
ENSP00000261658	ENSG00000103429	BFAR
ENSP00000251020	ENSG00000103449	SALL1
ENSP00000219746	ENSG00000103460	TOX3
ENSP00000262133	ENSG00000103479	RBL2
ENSP00000378782	ENSG00000103485	QPRT
ENSP00000261381	ENSG00000103489	XYLT1
ENSP00000247470	ENSG00000103490	PYCARD
ENSP00000369257	ENSG00000103494	RPGRIP1L
ENSP00000219782	ENSG00000103495	MAZ
ENSP00000317714	ENSG00000103496	STX4
ENSP00000219789	ENSG00000103502	CDIPT
ENSP00000219794	ENSG00000103507	BCKDK
ENSP00000406037	ENSG00000103510	KAT8
ENSP00000287667	ENSG00000103512	NOMO1
ENSP00000338010	ENSG00000103522	IL21R
ENSP00000347538	ENSG00000103528	SYT17
ENSP00000379531	ENSG00000103534	TMC5
ENSP00000370803	ENSG00000103540	CCP110
ENSP00000219833	ENSG00000103546	SLC6A2
ENSP00000325677	ENSG00000103549	RNF40
ENSP00000219919	ENSG00000103569	AQP9
ENSP00000336861	ENSG00000103599	IQCH
ENSP00000261893	ENSG00000103642	LACTB
ENSP00000454783	ENSG00000103647	CORO2B
ENSP00000220003	ENSG00000103653	CSK
ENSP00000390158	ENSG00000103657	HERC1
ENSP00000261884	ENSG00000103671	TRIP4
ENSP00000220058	ENSG00000103707	MTFMT
ENSP00000220062	ENSG00000103710	RASL12
ENSP00000261722	ENSG00000103723	AP3B2
ENSP00000258873	ENSG00000103740	ACSBG1
ENSP00000319623	ENSG00000103742	IGDCC4
ENSP00000261890	ENSG00000103769	RAB11A
ENSP00000220166	ENSG00000103811	CTSH
ENSP00000262074	ENSG00000103852	TTC23
ENSP00000320084	ENSG00000103855	CD276
ENSP00000261755	ENSG00000103876	FAH
ENSP00000306123	ENSG00000103932	RPAP1
ENSP00000305632	ENSG00000103942	HOMER2
ENSP00000220325	ENSG00000103966	EHD4
ENSP00000374484	ENSG00000103978	TMEM87A
ENSP00000263805	ENSG00000103994	ZNF106
ENSP00000382271	ENSG00000103995	CEP152
ENSP00000284509	ENSG00000104043	ATP8B4
ENSP00000346659	ENSG00000104044	OCA2
ENSP00000220429	ENSG00000104064	GABPB1
ENSP00000281537	ENSG00000104067	TJP1
ENSP00000346697	ENSG00000104081	BMF
ENSP00000441858	ENSG00000104093	DMXL2
ENSP00000220478	ENSG00000104112	SCG3
ENSP00000220496	ENSG00000104129	DNAJC17
ENSP00000261868	ENSG00000104131	EIF3J
ENSP00000261866	ENSG00000104133	SPG11
ENSP00000220507	ENSG00000104140	RHOV
ENSP00000220509	ENSG00000104142	VPS18
ENSP00000220514	ENSG00000104147	OIP5
ENSP00000261867	ENSG00000104154	SLC30A4
ENSP00000220531	ENSG00000104164	BLOC1S6
ENSP00000316950	ENSG00000104177	MYEF2
ENSP00000251630	ENSG00000104213	PDGFRL
ENSP00000262210	ENSG00000104218	CSPP1
ENSP00000262096	ENSG00000104219	ZDHHC2
ENSP00000220659	ENSG00000104221	BRF2
ENSP00000301924	ENSG00000104228	TRIM35
ENSP00000220669	ENSG00000104231	ZFAND1
ENSP00000220676	ENSG00000104237	RP1
ENSP00000285379	ENSG00000104267	CA2
ENSP00000240093	ENSG00000104290	FZD3
ENSP00000429065	ENSG00000104299	INTS9
ENSP00000220751	ENSG00000104312	RIPK2
ENSP00000342626	ENSG00000104313	EYA1
ENSP00000265433	ENSG00000104320	NBN
ENSP00000262209	ENSG00000104321	TRPA1
ENSP00000220764	ENSG00000104325	DECR1
ENSP00000265431	ENSG00000104327	CALB1
ENSP00000262644	ENSG00000104331	IMPAD1
ENSP00000220772	ENSG00000104332	SFRP1
ENSP00000397453	ENSG00000104343	UBE2W
ENSP00000339529	ENSG00000104356	POP1
ENSP00000430684	ENSG00000104365	IKBKB
ENSP00000220809	ENSG00000104368	PLAT
ENSP00000220812	ENSG00000104371	DKK4
ENSP00000390500	ENSG00000104375	STK3
ENSP00000220822	ENSG00000104381	GDAP1
ENSP00000262646	ENSG00000104388	RAB2A
ENSP00000220849	ENSG00000104408	EIF3E
ENSP00000220853	ENSG00000104412	EMC2
ENSP00000405738	ENSG00000104413	ESRP1
ENSP00000250160	ENSG00000104415	WISP1
ENSP00000319977	ENSG00000104419	NDRG1
ENSP00000263851	ENSG00000104432	IL7
ENSP00000429243	ENSG00000104435	STMN2
ENSP00000276569	ENSG00000104442	ARMC1
ENSP00000379065	ENSG00000104447	TRPS1
ENSP00000251809	ENSG00000104450	SPAG1
ENSP00000220913	ENSG00000104472	CHRAC1
ENSP00000220931	ENSG00000104490	NCALD
ENSP00000220940	ENSG00000104499	GML
ENSP00000429084	ENSG00000104517	UBR5
ENSP00000262580	ENSG00000104518	GSDMD
ENSP00000398803	ENSG00000104522	TSTA3
ENSP00000220966	ENSG00000104524	PYCRL
ENSP00000391944	ENSG00000104529	EEF1D
ENSP00000262219	ENSG00000104537	ANXA13
ENSP00000265896	ENSG00000104549	SQLE
ENSP00000265807	ENSG00000104611	SH2D4A
ENSP00000381064	ENSG00000104613	INTS10
ENSP00000250263	ENSG00000104626	ERI1
ENSP00000289952	ENSG00000104635	SLC39A14
ENSP00000221086	ENSG00000104643	MTMR9
ENSP00000428281	ENSG00000104660	LEPROTL1
ENSP00000221114	ENSG00000104671	DCTN6
ENSP00000221130	ENSG00000104687	GSR
ENSP00000221132	ENSG00000104689	TNFRSF10A
ENSP00000221138	ENSG00000104695	PPP2CB
ENSP00000221166	ENSG00000104722	NEFM
ENSP00000340297	ENSG00000104728	ARHGEF10
ENSP00000270583	ENSG00000104731	KLHDC4
ENSP00000262105	ENSG00000104738	MCM4
ENSP00000265708	ENSG00000104755	ADAM2
ENSP00000221200	ENSG00000104756	KCTD9
ENSP00000371152	ENSG00000104763	ASAH1
ENSP00000370003	ENSG00000104765	BNIP3L
ENSP00000395473	ENSG00000104774	MAN2B1
ENSP00000262888	ENSG00000104783	KCNN4
ENSP00000221399	ENSG00000104804	TULP2
ENSP00000263273	ENSG00000104805	NUCB1
ENSP00000221403	ENSG00000104808	DHDH
ENSP00000317904	ENSG00000104812	GYS1
ENSP00000380066	ENSG00000104814	MAP4K1
ENSP00000221418	ENSG00000104823	ECH1
ENSP00000221419	ENSG00000104824	HNRNPL
ENSP00000312988	ENSG00000104825	NFKBIB
ENSP00000221421	ENSG00000104826	LHB
ENSP00000349954	ENSG00000104827	CGB
ENSP00000264071	ENSG00000104833	TUBB4A
ENSP00000472847	ENSG00000104835	SARS2
ENSP00000221444	ENSG00000104848	KCNA7
ENSP00000472998	ENSG00000104852	SNRNP70
ENSP00000336994	ENSG00000104853	CLPTM1
ENSP00000221452	ENSG00000104856	RELB
ENSP00000221455	ENSG00000104859	CLASRP
ENSP00000221459	ENSG00000104863	LIN7B
ENSP00000221466	ENSG00000104870	FCGRT
ENSP00000262265	ENSG00000104872	PIH1D1
ENSP00000221476	ENSG00000104879	CKM
ENSP00000352995	ENSG00000104880	ARHGEF18
ENSP00000354218	ENSG00000104881	PPP1R13L
ENSP00000221480	ENSG00000104883	PEX11G
ENSP00000375809	ENSG00000104884	ERCC2
ENSP00000381657	ENSG00000104885	DOT1L
ENSP00000221485	ENSG00000104888	SLC17A7
ENSP00000221486	ENSG00000104889	RNASEH2A
ENSP00000375810	ENSG00000104892	KLC3
ENSP00000325708	ENSG00000104894	CD37
ENSP00000221494	ENSG00000104897	SF3A2
ENSP00000221496	ENSG00000104899	AMH
ENSP00000221498	ENSG00000104901	DKKL1
ENSP00000264824	ENSG00000104903	LYL1
ENSP00000464146	ENSG00000104904	OAZ1
ENSP00000350352	ENSG00000104907	TRMT1
ENSP00000466298	ENSG00000104915	STX10
ENSP00000221515	ENSG00000104918	RETN
ENSP00000264072	ENSG00000104921	FCER2
ENSP00000345997	ENSG00000104936	DMPK
ENSP00000316228	ENSG00000104938	CLEC4M
ENSP00000221538	ENSG00000104941	RSPH6A
ENSP00000221543	ENSG00000104946	TBC1D17
ENSP00000342557	ENSG00000104951	IL4I1
ENSP00000246112	ENSG00000104953	TLE6
ENSP00000221554	ENSG00000104957	CCDC130
ENSP00000375717	ENSG00000104960	PTOV1
ENSP00000221561	ENSG00000104964	AES
ENSP00000263257	ENSG00000104967	NOVA2
ENSP00000221566	ENSG00000104969	SGTA
ENSP00000326767	ENSG00000104973	MED25
ENSP00000221573	ENSG00000104976	SNAPC2
ENSP00000270538	ENSG00000104980	TIMM44
ENSP00000263379	ENSG00000104998	IL27RA
ENSP00000263382	ENSG00000105011	ASF1B
ENSP00000467176	ENSG00000105048	TNNT1
ENSP00000324636	ENSG00000105053	VRK3
ENSP00000263384	ENSG00000105058	FAM32A
ENSP00000414202	ENSG00000105063	PPP6R1
ENSP00000263390	ENSG00000105085	MED26
ENSP00000341905	ENSG00000105122	RASAL3
ENSP00000269701	ENSG00000105127	AKAP8
ENSP00000263383	ENSG00000105135	ILVBL
ENSP00000341489	ENSG00000105137	SYDE1
ENSP00000221740	ENSG00000105141	CASP14
ENSP00000221742	ENSG00000105143	SLC1A6
ENSP00000302898	ENSG00000105146	AURKC
ENSP00000465213	ENSG00000105171	POP4
ENSP00000262643	ENSG00000105173	CCNE1
ENSP00000442436	ENSG00000105176	URI1
ENSP00000466214	ENSG00000105185	PDCD5
ENSP00000304292	ENSG00000105186	ANKRD27
ENSP00000251453	ENSG00000105193	RPS16
ENSP00000318115	ENSG00000105197	TIMM50
ENSP00000221801	ENSG00000105202	FBL
ENSP00000312789	ENSG00000105204	DYRK1B
ENSP00000221804	ENSG00000105205	CLC
ENSP00000396755	ENSG00000105219	CNTD2
ENSP00000405573	ENSG00000105220	GPI
ENSP00000375892	ENSG00000105221	AKT2
ENSP00000348901	ENSG00000105223	PLD3
ENSP00000326018	ENSG00000105227	PRX
ENSP00000262971	ENSG00000105229	PIAS4
ENSP00000252891	ENSG00000105245	NUMBL
ENSP00000221847	ENSG00000105246	EBI3
ENSP00000262962	ENSG00000105248	CCDC94
ENSP00000446058	ENSG00000105251	SHD
ENSP00000221855	ENSG00000105254	TBCB
ENSP00000221856	ENSG00000105255	FSD1
ENSP00000221859	ENSG00000105258	POLR2I
ENSP00000262637	ENSG00000105261	OVOL3
ENSP00000353732	ENSG00000105270	CLIP3
ENSP00000262961	ENSG00000105278	ZFR2
ENSP00000444408	ENSG00000105281	SLC1A5
ENSP00000291281	ENSG00000105287	PRKD2
ENSP00000262968	ENSG00000105289	TJP3
ENSP00000221891	ENSG00000105290	APLP1
ENSP00000248420	ENSG00000105298	CACTIN
ENSP00000221922	ENSG00000105321	CCDC9
ENSP00000375863	ENSG00000105323	HNRNPUL1
ENSP00000378529	ENSG00000105325	FZR1
ENSP00000404503	ENSG00000105327	BBC3
ENSP00000221930	ENSG00000105329	TGFB1
ENSP00000221957	ENSG00000105355	PLIN3
ENSP00000262269	ENSG00000105357	MYH14
ENSP00000253099	ENSG00000105364	MRPL4
ENSP00000221972	ENSG00000105369	CD79A
ENSP00000221973	ENSG00000105370	LIM2
ENSP00000342114	ENSG00000105371	ICAM4
ENSP00000470004	ENSG00000105372	RPS19
ENSP00000246802	ENSG00000105373	GLTSCR2
ENSP00000221980	ENSG00000105376	ICAM5
ENSP00000346173	ENSG00000105379	ETFB
ENSP00000262262	ENSG00000105383	CD33
ENSP00000221992	ENSG00000105388	CEACAM5
ENSP00000221996	ENSG00000105392	CRX
ENSP00000352408	ENSG00000105393	BABAM1
ENSP00000264818	ENSG00000105397	TYK2
ENSP00000222002	ENSG00000105398	SULT2A1
ENSP00000222005	ENSG00000105401	CDC37
ENSP00000263354	ENSG00000105402	NAPA
ENSP00000222008	ENSG00000105404	RABAC1
ENSP00000302397	ENSG00000105409	ATP1A3
ENSP00000452854	ENSG00000105419	MEIS3
ENSP00000349932	ENSG00000105426	PTPRS
ENSP00000222032	ENSG00000105427	CNFN
ENSP00000222033	ENSG00000105428	ZNRF4
ENSP00000334219	ENSG00000105429	MEGF8
ENSP00000329471	ENSG00000105438	KDELR1
ENSP00000408236	ENSG00000105443	CYTH2
ENSP00000253237	ENSG00000105447	GRWD1
ENSP00000263269	ENSG00000105464	GRIN2D
ENSP00000318429	ENSG00000105479	CCDC114
ENSP00000375767	ENSG00000105483	CARD8
ENSP00000263274	ENSG00000105486	LIG1
ENSP00000401502	ENSG00000105492	SIGLEC6
ENSP00000400036	ENSG00000105499	PLA2G4C
ENSP00000455510	ENSG00000105501	SIGLEC5
ENSP00000293255	ENSG00000105507	CABP5
ENSP00000222115	ENSG00000105509	HAS1
ENSP00000222120	ENSG00000105514	RAB3D
ENSP00000222122	ENSG00000105516	DBP
ENSP00000346954	ENSG00000105518	TMEM205
ENSP00000251473	ENSG00000105520	DKFZP761J1410
ENSP00000222145	ENSG00000105538	RASIP1
ENSP00000340088	ENSG00000105549	THEG
ENSP00000222157	ENSG00000105550	FGF21
ENSP00000322991	ENSG00000105552	BCAT2
ENSP00000324804	ENSG00000105568	PPP2R1A
ENSP00000407182	ENSG00000105576	TNPO2
ENSP00000468969	ENSG00000105583	WDR83OS
ENSP00000222212	ENSG00000105605	CACNG7
ENSP00000222214	ENSG00000105607	GCDH
ENSP00000264834	ENSG00000105610	KLF1
ENSP00000222219	ENSG00000105612	DNASE2
ENSP00000251472	ENSG00000105613	MAST1
ENSP00000324122	ENSG00000105618	PRPF31
ENSP00000375639	ENSG00000105619	TFPT
ENSP00000391676	ENSG00000105639	JAK3
ENSP00000222247	ENSG00000105640	RPL18A
ENSP00000222248	ENSG00000105641	SLC5A5
ENSP00000222250	ENSG00000105643	ARRDC2
ENSP00000222254	ENSG00000105647	PIK3R2
ENSP00000222256	ENSG00000105649	RAB3A
ENSP00000347689	ENSG00000105650	PDE4C
ENSP00000337746	ENSG00000105655	ISYNA1
ENSP00000262809	ENSG00000105656	ELL
ENSP00000345001	ENSG00000105662	CRTC1
ENSP00000222271	ENSG00000105664	COMP
ENSP00000222275	ENSG00000105668	UPK1A
ENSP00000262812	ENSG00000105669	COPE
ENSP00000247003	ENSG00000105671	DDX49
ENSP00000384524	ENSG00000105672	ETV2
ENSP00000262623	ENSG00000105675	ATP4A
ENSP00000376148	ENSG00000105676	ARMC6
ENSP00000222284	ENSG00000105677	TMEM147
ENSP00000222286	ENSG00000105679	GAPDHS
ENSP00000376048	ENSG00000105695	MAG
ENSP00000222304	ENSG00000105697	HAMP
ENSP00000222305	ENSG00000105698	USF2
ENSP00000354575	ENSG00000105699	LSR
ENSP00000222307	ENSG00000105700	KXD1
ENSP00000222308	ENSG00000105701	FKBP8
ENSP00000247001	ENSG00000105705	SUGP1
ENSP00000262626	ENSG00000105707	HPN
ENSP00000340514	ENSG00000105708	ZNF14
ENSP00000396915	ENSG00000105711	SCN1B
ENSP00000251203	ENSG00000105717	PBX4
ENSP00000222329	ENSG00000105722	ERF
ENSP00000222330	ENSG00000105723	GSK3A
ENSP00000349877	ENSG00000105726	ATP13A1
ENSP00000262895	ENSG00000105737	GRIK5
ENSP00000222345	ENSG00000105738	SIPA1L3
ENSP00000329793	ENSG00000105750	ZNF85
ENSP00000292147	ENSG00000105755	ETHE1
ENSP00000270066	ENSG00000105771	SMG9
ENSP00000315568	ENSG00000105778	AVL9
ENSP00000337732	ENSG00000105784	RUNDC3B
ENSP00000222511	ENSG00000105793	GTPBP10
ENSP00000262940	ENSG00000105808	RASA4
ENSP00000265734	ENSG00000105810	CDK6
ENSP00000249269	ENSG00000105819	PMPCB
ENSP00000368565	ENSG00000105821	DNAJC2
ENSP00000222543	ENSG00000105825	TFPI2
ENSP00000222547	ENSG00000105829	BET1
ENSP00000222553	ENSG00000105835	NAMPT
ENSP00000222567	ENSG00000105849	TWISTNB
ENSP00000352121	ENSG00000105851	PIK3CG
ENSP00000222572	ENSG00000105854	PON2
ENSP00000222573	ENSG00000105855	ITGB8
ENSP00000222574	ENSG00000105856	HBP1
ENSP00000222584	ENSG00000105866	SP4
ENSP00000330671	ENSG00000105877	DNAH11
ENSP00000401277	ENSG00000105879	CBLL1
ENSP00000222598	ENSG00000105880	DLX5
ENSP00000376800	ENSG00000105887	MTPN
ENSP00000341170	ENSG00000105894	PTN
ENSP00000222644	ENSG00000105926	MPP6
ENSP00000339587	ENSG00000105928	DFNA5
ENSP00000253856	ENSG00000105929	ATP6V0A4
ENSP00000242351	ENSG00000105939	ZC3HAV1
ENSP00000222673	ENSG00000105953	OGDH
ENSP00000222674	ENSG00000105954	NPVF
ENSP00000265846	ENSG00000105963	ADAP1
ENSP00000265440	ENSG00000105967	TFEC
ENSP00000308405	ENSG00000105968	H2AFV
ENSP00000222693	ENSG00000105971	CAV2
ENSP00000339191	ENSG00000105974	CAV1
ENSP00000317272	ENSG00000105976	MET
ENSP00000315950	ENSG00000105982	RNF32
ENSP00000326604	ENSG00000105983	LMBR1
ENSP00000265441	ENSG00000105989	WNT2
ENSP00000343246	ENSG00000105991	HOXA1
ENSP00000262177	ENSG00000105993	DNAJB6
ENSP00000222718	ENSG00000105996	HOXA2
ENSP00000324884	ENSG00000105997	HOXA3
ENSP00000222725	ENSG00000106003	LFNG
ENSP00000222726	ENSG00000106004	HOXA5
ENSP00000339637	ENSG00000106009	BRAT1
ENSP00000262178	ENSG00000106018	VIPR2
ENSP00000222747	ENSG00000106025	TSPAN12
ENSP00000265304	ENSG00000106028	SSBP1
ENSP00000222753	ENSG00000106031	HOXA13
ENSP00000419266	ENSG00000106038	EVX1
ENSP00000265395	ENSG00000106049	HIBADH
ENSP00000379612	ENSG00000106052	TAX1BP1
ENSP00000265394	ENSG00000106066	CPVL
ENSP00000222792	ENSG00000106069	CHN2
ENSP00000381793	ENSG00000106070	GRB10
ENSP00000222800	ENSG00000106077	ABHD11
ENSP00000265136	ENSG00000106078	COBL
ENSP00000397947	ENSG00000106086	PLEKHA8
ENSP00000222812	ENSG00000106089	STX1A
ENSP00000222823	ENSG00000106100	NOD1
ENSP00000373918	ENSG00000106105	GARS
ENSP00000340943	ENSG00000106113	CRHR2
ENSP00000376684	ENSG00000106123	EPHB6
ENSP00000320180	ENSG00000106128	GHRHR
ENSP00000312664	ENSG00000106144	CASP2
ENSP00000378812	ENSG00000106153	CHCHD2
ENSP00000248553	ENSG00000106211	HSPB1
ENSP00000265634	ENSG00000106236	NPTX2
ENSP00000222968	ENSG00000106244	PDAP1
ENSP00000222969	ENSG00000106245	BUD31
ENSP00000450995	ENSG00000106246	PTCD1
ENSP00000222982	ENSG00000106258	CYP3A5
ENSP00000323148	ENSG00000106261	ZKSCAN1
ENSP00000354125	ENSG00000106263	EIF3B
ENSP00000222990	ENSG00000106266	SNX8
ENSP00000339503	ENSG00000106268	NUDT1
ENSP00000377047	ENSG00000106278	PTPRZ1
ENSP00000399982	ENSG00000106290	TAF6
ENSP00000223023	ENSG00000106299	WASL
ENSP00000223026	ENSG00000106302	HYAL4
ENSP00000345849	ENSG00000106304	SPAM1
ENSP00000223029	ENSG00000106305	AIMP2
ENSP00000223051	ENSG00000106327	TFR2
ENSP00000223054	ENSG00000106330	MOSPD3
ENSP00000339906	ENSG00000106331	PAX4
ENSP00000223061	ENSG00000106333	PCOLCE
ENSP00000340125	ENSG00000106341	PPP1R17
ENSP00000223073	ENSG00000106344	RBM28
ENSP00000301962	ENSG00000106346	USP42
ENSP00000345096	ENSG00000106348	IMPDH1
ENSP00000300176	ENSG00000106351	AGFG2
ENSP00000410758	ENSG00000106355	LSM5
ENSP00000223095	ENSG00000106366	SERPINE1
ENSP00000336666	ENSG00000106367	AP1S1
ENSP00000223114	ENSG00000106384	MOGAT3
ENSP00000223122	ENSG00000106392	C1GALT1
ENSP00000223127	ENSG00000106397	PLOD3
ENSP00000223129	ENSG00000106399	RPA3
ENSP00000304593	ENSG00000106400	ZNHIT1
ENSP00000308870	ENSG00000106404	CLDN15
ENSP00000419457	ENSG00000106410	NOBOX
ENSP00000223167	ENSG00000106436	MYL10
ENSP00000385795	ENSG00000106443	PHF14
ENSP00000223190	ENSG00000106459	NRF1
ENSP00000379901	ENSG00000106460	TMEM106B
ENSP00000320147	ENSG00000106462	EZH2
ENSP00000223208	ENSG00000106477	CEP41
ENSP00000410715	ENSG00000106483	SFRP4
ENSP00000223215	ENSG00000106484	MEST
ENSP00000262041	ENSG00000106511	MEOX2
ENSP00000303570	ENSG00000106524	ANKMY2
ENSP00000252071	ENSG00000106526	ACTR3C
ENSP00000223271	ENSG00000106538	RARRES2
ENSP00000391490	ENSG00000106541	AGR2
ENSP00000242057	ENSG00000106546	AHR
ENSP00000262570	ENSG00000106554	CHCHD3
ENSP00000379258	ENSG00000106571	GLI3
ENSP00000223321	ENSG00000106588	PSMA2
ENSP00000223324	ENSG00000106591	MRPL32
ENSP00000265523	ENSG00000106605	BLVRA
ENSP00000396918	ENSG00000106608	URGCP
ENSP00000340668	ENSG00000106609	TMEM248
ENSP00000262187	ENSG00000106615	RHEB
ENSP00000287878	ENSG00000106617	PRKAG2
ENSP00000223357	ENSG00000106624	AEBP1
ENSP00000386105	ENSG00000106628	POLD2
ENSP00000223364	ENSG00000106631	MYL7
ENSP00000223366	ENSG00000106633	GCK
ENSP00000223368	ENSG00000106635	BCL7B
ENSP00000223369	ENSG00000106636	YKT6
ENSP00000307260	ENSG00000106638	TBL2
ENSP00000376548	ENSG00000106648	GALNTL5
ENSP00000265753	ENSG00000106682	EIF4H
ENSP00000336740	ENSG00000106683	LIMK1
ENSP00000262352	ENSG00000106688	SLC1A1
ENSP00000362717	ENSG00000106689	LHX2
ENSP00000223528	ENSG00000106692	FKTN
ENSP00000417492	ENSG00000106701	FSD1L
ENSP00000297668	ENSG00000106714	CNTNAP3
ENSP00000365019	ENSG00000106723	SPIN1
ENSP00000354387	ENSG00000106733	NMRK1
ENSP00000365908	ENSG00000106772	PRUNE2
ENSP00000343990	ENSG00000106785	TRIM14
ENSP00000343746	ENSG00000106789	CORO2A
ENSP00000364133	ENSG00000106799	TGFBR1
ENSP00000223641	ENSG00000106803	SEC61B
ENSP00000223642	ENSG00000106804	C5
ENSP00000262551	ENSG00000106809	OGN
ENSP00000364694	ENSG00000106819	ASPN
ENSP00000344758	ENSG00000106823	ECM2
ENSP00000365735	ENSG00000106829	TLE4
ENSP00000377854	ENSG00000106852	LHX6
ENSP00000311572	ENSG00000106853	PTGR1
ENSP00000265132	ENSG00000106927	AMBP
ENSP00000303769	ENSG00000106948	AKNA
ENSP00000223795	ENSG00000106952	TNFSF8
ENSP00000362014	ENSG00000106976	DNM1
ENSP00000362299	ENSG00000106991	ENG
ENSP00000362249	ENSG00000106992	AK1
ENSP00000371278	ENSG00000106993	CDC37L1
ENSP00000371040	ENSG00000107014	RLN2
ENSP00000223862	ENSG00000107018	RLN1
ENSP00000223864	ENSG00000107020	PLGRKT
ENSP00000361731	ENSG00000107021	TBC1D13
ENSP00000416696	ENSG00000107036	KIAA1432
ENSP00000370710	ENSG00000107077	KDM4C
ENSP00000408464	ENSG00000107099	DOCK8
ENSP00000371734	ENSG00000107104	KANK1
ENSP00000369460	ENSG00000107105	ELAVL2
ENSP00000361475	ENSG00000107130	NCS1
ENSP00000338127	ENSG00000107140	TESK1
ENSP00000367608	ENSG00000107159	CA9
ENSP00000318177	ENSG00000107164	FUBP3
ENSP00000373570	ENSG00000107165	TYRP1
ENSP00000342136	ENSG00000107175	CREB3
